,statusId,sensorName,timestamp,x,y,z
2,4,orientation,1560899183504,323.33,-21.56,-0.47
6,4,orientation,1560899183515,322.77,-21.42,-0.39
10,4,orientation,1560899183524,322.16,-21.3,-0.28
14,4,orientation,1560899183534,321.52,-21.14,-0.14999999
18,4,orientation,1560899183545,320.85,-20.939999,-0.02
22,4,orientation,1560899183555,320.19,-20.73,0.099999994
26,4,orientation,1560899183564,319.57,-20.49,0.19999999
30,4,orientation,1560899183574,318.96,-20.23,0.26999998
34,4,orientation,1560899183585,318.36,-19.97,0.35
38,4,orientation,1560899183594,317.82,-19.72,0.42999998
42,4,orientation,1560899183604,317.35,-19.51,0.53999996
46,4,orientation,1560899183615,316.9,-19.34,0.65
50,4,orientation,1560899183624,316.4,-19.16,0.77
54,4,orientation,1560899183634,315.88998,-18.96,0.89
58,4,orientation,1560899183645,315.34,-18.74,1.01
62,4,orientation,1560899183655,314.83,-18.51,1.11
67,4,orientation,1560899183664,314.31,-18.27,1.2099999
68,4,orientation,1560899183674,313.78,-18.08,1.29
75,4,orientation,1560899183685,313.12,-17.85,1.41
78,4,orientation,1560899183694,312.49,-17.6,1.55
82,4,orientation,1560899183704,311.81,-17.35,1.74
86,4,orientation,1560899183715,311.18,-17.119999,1.9399999
90,4,orientation,1560899183724,310.53,-16.859999,2.12
94,4,orientation,1560899183734,309.77,-16.58,2.36
98,4,orientation,1560899183745,309.06,-16.33,2.6299999
102,4,orientation,1560899183755,308.71,-16.25,2.86
106,4,orientation,1560899183764,308.55,-16.13,3.1499999
110,4,orientation,1560899183775,308.25,-16.01,3.51
114,4,orientation,1560899183785,308.00998,-15.92,3.8999999
118,4,orientation,1560899183794,308.11,-15.99,4.17
122,4,orientation,1560899183804,308.36,-16.17,4.48
126,4,orientation,1560899183815,308.88998,-15.62,3.58
130,4,orientation,1560899183824,309.74,-15.83,3.3999999
134,4,orientation,1560899183834,308.19,-15.32,4.29
138,4,orientation,1560899183845,305.27,-14.559999,6.06
142,4,orientation,1560899183854,303.83,-14.46,7.5899997
146,4,orientation,1560899183864,303.65,-14.7699995,8.54
150,4,orientation,1560899183875,303.78,-14.849999,8.82
154,4,orientation,1560899183885,303.53998,-14.549999,8.849999
158,4,orientation,1560899183894,303.02,-14.07,8.9
162,4,orientation,1560899183905,302.43,-13.7,9.25
166,4,orientation,1560899183915,301.44998,-13.11,9.69
170,4,orientation,1560899183924,301.12,-12.67,9.79
174,4,orientation,1560899183934,299.66998,-11.78,10.38
178,4,orientation,1560899183945,298.8,-11.05,10.63
182,4,orientation,1560899183954,298.87,-10.65,10.469999
186,4,orientation,1560899183964,298.97998,-10.25,10.33
190,4,orientation,1560899183975,298.8,-9.62,10.13
194,4,orientation,1560899183984,298.78,-9.139999,10.08
198,4,orientation,1560899183994,298.65,-8.79,10.429999
202,4,orientation,1560899184005,298.52,-8.48,10.849999
206,4,orientation,1560899184015,298.57,-8.179999,11.059999
210,4,orientation,1560899184024,298.88,-8.0,11.23
214,4,orientation,1560899184034,299.18,-7.79,11.32
218,4,orientation,1560899184045,298.57,-7.17,11.5199995
222,4,orientation,1560899184054,297.88,-6.24,11.13
226,4,orientation,1560899184064,297.86,-5.8599997,10.98
230,4,orientation,1560899184075,296.91998,-4.31,9.2699995
234,4,orientation,1560899184084,298.35,-3.6999998,6.94
238,4,orientation,1560899184094,300.9,-3.34,4.27
242,4,orientation,1560899184105,300.35,-1.99,2.19
246,4,orientation,1560899184114,300.22,-1.18,0.58
250,4,orientation,1560899184124,302.06,-0.89,-1.53
254,4,orientation,1560899184135,305.37,-0.5,-4.52
258,4,orientation,1560899184145,307.22,0.48,-7.46
262,4,orientation,1560899184154,309.88,1.35,-10.429999
263,4,orientation,1560899184164,311.56,2.1699998,-12.87
270,4,orientation,1560899184175,304.78998,3.84,-13.95
274,4,orientation,1560899184184,296.41998,5.5299997,-14.73
278,4,orientation,1560899184194,289.91998,7.04,-15.799999
282,4,orientation,1560899184205,286.21,8.179999,-17.1
286,4,orientation,1560899184214,281.54,9.639999,-18.47
290,4,orientation,1560899184224,275.88,11.45,-19.91
294,4,orientation,1560899184235,271.38,13.179999,-21.4
298,4,orientation,1560899184245,267.75,14.91,-22.3
302,4,orientation,1560899184254,262.68,17.199999,-23.92
306,4,orientation,1560899184264,258.02,19.8,-24.98
310,4,orientation,1560899184275,256.11,22.13,-25.24
314,4,orientation,1560899184284,256.44998,24.01,-25.05
318,4,orientation,1560899184294,257.83,25.43,-25.01
322,4,orientation,1560899184305,259.36,26.75,-24.83
326,4,orientation,1560899184314,261.03,27.91,-24.49
330,4,orientation,1560899184324,263.53,28.55,-23.65
334,4,orientation,1560899184335,266.21,28.779999,-23.14
