statusId,sensorName,value,timestamp
2,4,orientation,"[323.33,-21.56,-0.47]",1560899183504
6,4,orientation,"[322.77,-21.42,-0.39]",1560899183515
10,4,orientation,"[322.16,-21.3,-0.28]",1560899183524
14,4,orientation,"[321.52,-21.14,-0.14999999]",1560899183534
18,4,orientation,"[320.85,-20.939999,-0.02]",1560899183545
22,4,orientation,"[320.19,-20.73,0.099999994]",1560899183555
26,4,orientation,"[319.57,-20.49,0.19999999]",1560899183564
30,4,orientation,"[318.96,-20.23,0.26999998]",1560899183574
34,4,orientation,"[318.36,-19.97,0.35]",1560899183585
38,4,orientation,"[317.82,-19.72,0.42999998]",1560899183594
42,4,orientation,"[317.35,-19.51,0.53999996]",1560899183604
46,4,orientation,"[316.9,-19.34,0.65]",1560899183615
50,4,orientation,"[316.4,-19.16,0.77]",1560899183624
54,4,orientation,"[315.88998,-18.96,0.89]",1560899183634
58,4,orientation,"[315.34,-18.74,1.01]",1560899183645
62,4,orientation,"[314.83,-18.51,1.11]",1560899183655
67,4,orientation,"[314.31,-18.27,1.2099999]",1560899183664
68,4,orientation,"[313.78,-18.08,1.29]",1560899183674
75,4,orientation,"[313.12,-17.85,1.41]",1560899183685
78,4,orientation,"[312.49,-17.6,1.55]",1560899183694
82,4,orientation,"[311.81,-17.35,1.74]",1560899183704
86,4,orientation,"[311.18,-17.119999,1.9399999]",1560899183715
90,4,orientation,"[310.53,-16.859999,2.12]",1560899183724
94,4,orientation,"[309.77,-16.58,2.36]",1560899183734
98,4,orientation,"[309.06,-16.33,2.6299999]",1560899183745
102,4,orientation,"[308.71,-16.25,2.86]",1560899183755
106,4,orientation,"[308.55,-16.13,3.1499999]",1560899183764
110,4,orientation,"[308.25,-16.01,3.51]",1560899183775
114,4,orientation,"[308.00998,-15.92,3.8999999]",1560899183785
118,4,orientation,"[308.11,-15.99,4.17]",1560899183794
122,4,orientation,"[308.36,-16.17,4.48]",1560899183804
126,4,orientation,"[308.88998,-15.62,3.58]",1560899183815
130,4,orientation,"[309.74,-15.83,3.3999999]",1560899183824
134,4,orientation,"[308.19,-15.32,4.29]",1560899183834
138,4,orientation,"[305.27,-14.559999,6.06]",1560899183845
142,4,orientation,"[303.83,-14.46,7.5899997]",1560899183854
146,4,orientation,"[303.65,-14.7699995,8.54]",1560899183864
150,4,orientation,"[303.78,-14.849999,8.82]",1560899183875
154,4,orientation,"[303.53998,-14.549999,8.849999]",1560899183885
158,4,orientation,"[303.02,-14.07,8.9]",1560899183894
162,4,orientation,"[302.43,-13.7,9.25]",1560899183905
166,4,orientation,"[301.44998,-13.11,9.69]",1560899183915
170,4,orientation,"[301.12,-12.67,9.79]",1560899183924
174,4,orientation,"[299.66998,-11.78,10.38]",1560899183934
178,4,orientation,"[298.8,-11.05,10.63]",1560899183945
182,4,orientation,"[298.87,-10.65,10.469999]",1560899183954
186,4,orientation,"[298.97998,-10.25,10.33]",1560899183964
190,4,orientation,"[298.8,-9.62,10.13]",1560899183975
194,4,orientation,"[298.78,-9.139999,10.08]",1560899183984
198,4,orientation,"[298.65,-8.79,10.429999]",1560899183994
202,4,orientation,"[298.52,-8.48,10.849999]",1560899184005
206,4,orientation,"[298.57,-8.179999,11.059999]",1560899184015
210,4,orientation,"[298.88,-8.0,11.23]",1560899184024
214,4,orientation,"[299.18,-7.79,11.32]",1560899184034
218,4,orientation,"[298.57,-7.17,11.5199995]",1560899184045
222,4,orientation,"[297.88,-6.24,11.13]",1560899184054
226,4,orientation,"[297.86,-5.8599997,10.98]",1560899184064
230,4,orientation,"[296.91998,-4.31,9.2699995]",1560899184075
234,4,orientation,"[298.35,-3.6999998,6.94]",1560899184084
238,4,orientation,"[300.9,-3.34,4.27]",1560899184094
