statusId,sensorName,timestamp,x,y,z
4,mag-akm09918,1560900618573000000,15.625,-0.875,-45.5
4,mag-akm09918,1560900618583000000,15.6875,-0.5,-45.5
4,mag-akm09918,1560900618592000000,15.75,-0.375,-45.375
4,mag-akm09918,1560900618602000000,15.625,-0.125,-45.125
4,mag-akm09918,1560900618613000000,15.75,0.125,-45.0
4,mag-akm09918,1560900618622000000,15.4375,0.4375,-44.6875
4,mag-akm09918,1560900618632000000,15.4375,0.8125,-44.75
4,mag-akm09918,1560900618643000000,15.4375,1.3125,-44.75
4,mag-akm09918,1560900618653000000,15.125,1.75,-44.5625
4,mag-akm09918,1560900618662000000,14.8125,1.75,-44.375
4,mag-akm09918,1560900618672000000,14.8125,2.0,-44.25
4,mag-akm09918,1560900618683000000,15.0,2.0,-44.375
4,mag-akm09918,1560900618692000000,14.8125,1.9375,-44.375
4,mag-akm09918,1560900618702000000,15.0,1.9375,-44.5
4,mag-akm09918,1560900618713000000,14.75,2.0,-44.25
4,mag-akm09918,1560900618723000000,14.875,1.1875,-44.4375
4,mag-akm09918,1560900618732000000,14.875,1.1875,-44.4375
4,mag-akm09918,1560900618743000000,14.875,1.1875,-44.4375
4,mag-akm09918,1560900618753000000,14.75,1.375,-44.6875
4,mag-akm09918,1560900618762000000,14.5,1.5,-44.5625
4,mag-akm09918,1560900618772000000,14.1875,1.625,-44.5625
4,mag-akm09918,1560900618783000000,14.1875,1.6875,-44.5625
4,mag-akm09918,1560900618792000000,14.0625,1.5,-44.5
4,mag-akm09918,1560900618802000000,13.75,1.6875,-44.5625
4,mag-akm09918,1560900618813000000,13.5625,1.9375,-44.5
4,mag-akm09918,1560900618823000000,13.3125,2.125,-44.375
4,mag-akm09918,1560900618832000000,13.125,1.75,-44.125
4,mag-akm09918,1560900618843000000,13.0,1.75,-44.375
4,mag-akm09918,1560900618852000000,13.0,1.8125,-44.4375
4,mag-akm09918,1560900618862000000,12.5,1.8125,-44.5
4,mag-akm09918,1560900618873000000,12.375,2.125,-44.5
4,mag-akm09918,1560900618883000000,12.1875,2.0625,-44.25
4,mag-akm09918,1560900618892000000,11.6875,2.0625,-44.5
4,mag-akm09918,1560900618902000000,11.75,2.125,-44.75
4,mag-akm09918,1560900618913000000,11.5625,2.625,-44.875
4,mag-akm09918,1560900618922000000,11.4375,2.6875,-44.8125
