,loggingTime(txt),x,y,z,label(N)
0,1.56113518012E+018,20.2234802246,17.2971343994,-553.452514648,0
1,1.56113518016E+018,19.460067749,17.1865386963,-553.535705566,0
2,1.56113518019E+018,19.460067749,17.1865386963,-553.535705566,0
3,1.56113518022E+018,18.8961791992,17.8285522461,-554.47668457,0
4,1.56113518026E+018,19.1585388184,18.3633117676,-554.636352539,0
5,1.56113518029E+018,19.1585388184,18.3633117676,-554.636352539,0
6,1.56113518032E+018,18.7876281738,18.4924621582,-555.259094238,0
7,1.56113518037E+018,18.7876281738,18.4924621582,-555.259094238,0
8,1.56113518039E+018,21.0409698486,19.3515167236,-553.938232422,0
9,1.56113518042E+018,21.0409698486,19.3515167236,-553.938232422,0
10,1.56113518046E+018,20.393157959,17.6005096436,-554.149414062,0
11,1.56113518049E+018,21.6766052246,19.8276672363,-554.324584961,0
12,1.56113518053E+018,21.6766052246,19.8276672363,-554.324584961,0
13,1.56113518056E+018,21.0530700684,20.6927947998,-554.96105957,0
14,1.56113518059E+018,21.0530700684,20.6927947998,-554.96105957,0
15,1.56113518063E+018,19.5067138672,21.3608093262,-556.529296875,0
16,1.56113518066E+018,19.5067138672,21.3608093262,-556.529296875,0
17,1.5611351807E+018,19.8712768555,25.64012146,-556.51373291,0
18,1.56113518073E+018,21.2700195312,32.8215179443,-554.064086914,0
19,1.56113518077E+018,21.2700195312,32.8215179443,-554.064086914,0
20,1.5611351808E+018,21.8679656982,38.1759796143,-550.669311523,0
21,1.56113518083E+018,21.8679656982,38.1759796143,-550.669311523,0
22,1.56113518086E+018,21.265411377,41.4519348145,-548.026245117,0
23,1.5611351809E+018,21.265411377,41.4519348145,-548.026245117,0
24,1.56113518093E+018,22.9086914062,43.265045166,-544.721130371,0
25,1.56113518097E+018,22.3869018555,44.4431762695,-543.587646484,0
26,1.56113518101E+018,22.3869018555,44.4431762695,-543.587646484,0
27,1.56113518103E+018,21.6963043213,45.3859405518,-543.069213867,0
28,1.56113518107E+018,21.6963043213,45.3859405518,-543.069213867,0
29,1.5611351811E+018,20.3951721191,44.1176757812,-545.299560547,0
30,1.56113518113E+018,20.3951721191,44.1176757812,-545.299560547,0
31,1.56113518117E+018,19.1807098389,43.0041503906,-547.299987793,0
32,1.5611351812E+018,16.4155883789,40.2420959473,-550.525024414,0
33,1.56113518126E+018,16.4155883789,40.2420959473,-550.525024414,0
34,1.56113518127E+018,14.724029541,39.8589477539,-551.616027832,0
35,1.56113518131E+018,14.724029541,39.8589477539,-551.616027832,0
36,1.56113518134E+018,14.517074585,40.1488189697,-551.545410156,0
37,1.56113518137E+018,14.517074585,40.1488189697,-551.545410156,0
38,1.56113518141E+018,16.9662628174,41.6211242676,-549.075195312,0
39,1.56113518144E+018,19.4631958008,43.7721405029,-545.920776367,0
40,1.56113518148E+018,19.4631958008,43.7721405029,-545.920776367,0
41,1.56113518151E+018,23.0641174316,46.5093841553,-540.527526855,0
42,1.56113518154E+018,23.0641174316,46.5093841553,-540.527526855,0
43,1.56113518157E+018,26.1786956787,47.6522216797,-535.423461914,0
44,1.56113518161E+018,26.1786956787,47.6522216797,-535.423461914,0
45,1.56113518165E+018,28.4878692627,49.1367340088,-529.330322266,0
46,1.56113518168E+018,30.5462799072,49.1841583252,-524.143188477,0
47,1.56113518171E+018,30.5462799072,49.1841583252,-524.143188477,0
48,1.56113518174E+018,32.8403930664,49.189239502,-514.788696289,0
49,1.56113518178E+018,32.8403930664,49.189239502,-514.788696289,0
50,1.56113518181E+018,34.0447692871,46.5887908936,-507.873321533,0
51,1.56113518184E+018,34.0447692871,46.5887908936,-507.873321533,0
52,1.56113518189E+018,35.0077819824,43.8880310059,-503.735107422,0
53,1.56113518191E+018,35.4056396484,40.6392211914,-499.285827637,0
54,1.56113518194E+018,35.4056396484,40.6392211914,-499.285827637,0
55,1.56113518198E+018,35.6633758545,36.4142608643,-494.360412598,0
56,1.56113518201E+018,35.6633758545,36.4142608643,-494.360412598,0
57,1.56113518206E+018,36.4164581299,34.1316680908,-494.240844727,0
58,1.56113518208E+018,36.4164581299,34.1316680908,-494.240844727,0
59,1.56113518213E+018,32.828125,36.6892089844,-488.069854736,0
60,1.56113518215E+018,30.911819458,39.5975341797,-486.899841309,0
61,1.56113518218E+018,30.911819458,39.5975341797,-486.899841309,0
62,1.56113518222E+018,29.3859100342,46.2394866943,-490.255554199,0
63,1.56113518225E+018,29.3859100342,46.2394866943,-490.255554199,0
64,1.5611351823E+018,28.9555664062,50.1561431885,-495.409362793,0
65,1.56113518232E+018,28.9555664062,50.1561431885,-495.409362793,0
66,1.56113518235E+018,26.8759307861,50.5953979492,-493.046630859,0
67,1.56113518239E+018,24.1775665283,53.1623687744,-493.036132812,0
68,1.56113518242E+018,24.1775665283,53.1623687744,-493.036132812,0
69,1.56113518245E+018,22.9389953613,56.1613769531,-494.868164062,0
70,1.56113518249E+018,22.9389953613,56.1613769531,-494.868164062,0
71,1.56113518254E+018,22.9319610596,56.0830993652,-495.483978271,0
72,1.56113518255E+018,22.9319610596,56.0830993652,-495.483978271,0
73,1.56113518259E+018,21.9455413818,57.1573181152,-495.818878174,0
74,1.56113518262E+018,20.9856414795,58.7418365479,-498.9375,0
75,1.56113518266E+018,20.9856414795,58.7418365479,-498.9375,0
76,1.5611351827E+018,20.057510376,58.4692687988,-499.9453125,0
77,1.56113518272E+018,20.057510376,58.4692687988,-499.9453125,0
78,1.56113518278E+018,20.209487915,58.5435180664,-501.410125732,0
79,1.56113518279E+018,20.209487915,58.5435180664,-501.410125732,0
80,1.56113518282E+018,21.6462249756,57.4162445068,-500.915618896,0
81,1.56113518286E+018,20.6724090576,58.6445617676,-500.481567383,0
82,1.56113518289E+018,20.6724090576,58.6445617676,-500.481567383,0
83,1.56113518294E+018,22.244934082,57.3648529053,-501.757019043,0
84,1.56113518296E+018,22.244934082,57.3648529053,-501.757019043,0
85,1.56113518302E+018,21.0982513428,58.2844848633,-501.628479004,0
86,1.56113518303E+018,21.0982513428,58.2844848633,-501.628479004,0
87,1.56113518306E+018,19.3564300537,59.3280334473,-501.122314453,0
88,1.5611351831E+018,19.9388580322,58.9831695557,-500.72555542,0
89,1.56113518313E+018,19.9388580322,58.9831695557,-500.72555542,0
90,1.56113518318E+018,19.7220306396,59.1234436035,-500.575683594,0
91,1.5611351832E+018,19.7220306396,59.1234436035,-500.575683594,0
92,1.56113518323E+018,19.5711669922,59.1176300049,-500.34576416,0
93,1.56113518326E+018,19.5711669922,59.1176300049,-500.34576416,0
94,1.5611351833E+018,18.7464904785,59.1609344482,-499.043823242,0
95,1.56113518333E+018,20.4253387451,58.2683868408,-498.704650879,0
96,1.56113518336E+018,20.4253387451,58.2683868408,-498.704650879,0
97,1.56113518342E+018,21.917388916,56.8441619873,-498.28213501,0
98,1.56113518343E+018,21.917388916,56.8441619873,-498.28213501,0
99,1.56113518347E+018,23.4489135742,56.0183868408,-498.176849365,0
100,1.5611351835E+018,23.4489135742,56.0183868408,-498.176849365,0
101,1.56113518354E+018,24.5758666992,54.7995452881,-498.146789551,0
102,1.56113518358E+018,25.6616668701,54.1010131836,-498.356445312,0
103,1.5611351836E+018,25.6616668701,54.1010131836,-498.356445312,0
104,1.56113518365E+018,25.5579528809,53.651550293,-497.579467773,0
105,1.56113518367E+018,25.5579528809,53.651550293,-497.579467773,0
106,1.5611351837E+018,24.7162628174,53.4001159668,-495.270690918,0
107,1.56113518374E+018,24.7162628174,53.4001159668,-495.270690918,0
108,1.56113518377E+018,23.2216644287,52.3774719238,-491.645782471,0
109,1.56113518381E+018,22.6343231201,51.3928985596,-488.78338623,0
110,1.56113518384E+018,22.6343231201,51.3928985596,-488.78338623,0
111,1.5611351839E+018,23.3834381104,48.9705505371,-486.733825684,0
112,1.5611351839E+018,23.3834381104,48.9705505371,-486.733825684,0
113,1.56113518394E+018,23.4454803467,46.4419250488,-484.612426758,0
114,1.56113518398E+018,23.4454803467,46.4419250488,-484.612426758,0
115,1.56113518401E+018,23.8567504883,45.7912445068,-483.981445312,0
116,1.56113518406E+018,24.7245178223,45.2309417725,-484.426727295,0
117,1.56113518408E+018,24.7245178223,45.2309417725,-484.426727295,0
118,1.56113518411E+018,24.4046020508,43.8014221191,-483.251464844,0
119,1.56113518414E+018,24.4046020508,43.8014221191,-483.251464844,0
