,loggingTime(txt),x,y,z,label
0,1561135180121000000,20.2234802246,17.2971343994,-553.452514648,0
1,1561135180156000000,19.460067749,17.1865386963,-553.535705566,0
2,1561135180189000000,19.460067749,17.1865386963,-553.535705566,0
3,1561135180224000000,18.8961791992,17.8285522461,-554.47668457,0
4,1561135180258000000,19.1585388184,18.3633117676,-554.636352539,0
5,1561135180294000000,19.1585388184,18.3633117676,-554.636352539,0
6,1561135180324000000,18.7876281738,18.4924621582,-555.259094238,0
7,1561135180373000000,18.7876281738,18.4924621582,-555.259094238,0
8,1561135180390000000,21.0409698486,19.3515167236,-553.938232422,0
9,1561135180425000000,21.0409698486,19.3515167236,-553.938232422,0
10,1561135180458000000,20.393157959,17.6005096436,-554.149414062,0
11,1561135180493000000,21.6766052246,19.8276672363,-554.324584961,0
12,1561135180533000000,21.6766052246,19.8276672363,-554.324584961,0
13,1561135180560000000,21.0530700684,20.6927947998,-554.96105957,0
14,1561135180593000000,21.0530700684,20.6927947998,-554.96105957,0
15,1561135180628000000,19.5067138672,21.3608093262,-556.529296875,0
16,1561135180661000000,19.5067138672,21.3608093262,-556.529296875,0
17,1561135180696000000,19.8712768555,25.64012146,-556.51373291,0
18,1561135180728000000,21.2700195312,32.8215179443,-554.064086914,0
19,1561135180771000000,21.2700195312,32.8215179443,-554.064086914,0
20,1561135180796000000,21.8679656982,38.1759796143,-550.669311523,0
21,1561135180832000000,21.8679656982,38.1759796143,-550.669311523,0
22,1561135180863000000,21.265411377,41.4519348145,-548.026245117,0
23,1561135180899000000,21.265411377,41.4519348145,-548.026245117,0
24,1561135180934000000,22.9086914062,43.265045166,-544.721130371,0
25,1561135180966000000,22.3869018555,44.4431762695,-543.587646484,0
26,1561135181009000000,22.3869018555,44.4431762695,-543.587646484,0
27,1561135181034000000,21.6963043213,45.3859405518,-543.069213867,0
28,1561135181066000000,21.6963043213,45.3859405518,-543.069213867,0
29,1561135181101000000,20.3951721191,44.1176757812,-545.299560547,0
