,acc_x,acc_y,acc_z,ori_x,ori_y,ori_z,mag_x,mag_y,mag_z,labelCycling,labelBoxJump,labelSquats,labelSideLunges,labelLunges,labelSkipping
2019-06-18 23:30:18.567,0.43325473480000004,2.7201962160000006,9.284905740000001,316.3315992,-19.11039988,0.85039998456,14.9075,1.1625,-44.665,1,0,0,0,0,0
2019-06-18 23:30:18.817,1.7506402732400002,1.4616122552600002,9.1194185260000005,303.8979952,-13.65039982,7.331199856,11.5675,4.0975,-44.4975,1,0,0,0,0,0
2019-06-18 23:30:19.067,-3.3197042934000001,-2.0955968727599994,8.1299428420000002,295.8471968,0.40559992,-3.16520004,25.6475,9.5525,-34.4875,1,0,0,0,0,0
2019-06-18 23:30:19.317,-4.0990648283999995,-3.1176336841999999,12.107765336000002,280.1879952,22.76039968,-21.7195998,29.865,24.34,-22.8075,1,0,0,0,0,0
2019-06-18 23:30:19.567,-3.1007784850000002,-4.6870807489999997,7.5921093000000015,308.718796,20.30679962,-22.53119972,35.7275,15.42,-19.4925,1,0,0,0,0,0
2019-06-18 23:30:19.817,-3.8902904460000003,-2.5405353018799999,7.5942162491999996,257.9431956,28.51599948,-23.85879964,33.175,1.945,-28.185,1,0,0,0,0,0
2019-06-18 23:30:20.067,-7.0424005852000002,-2.9404627257999998,8.5112912600000001,244.339998,15.57199956,-24.66679976,34.81,-1.16,-25.46,1,0,0,0,0,0
2019-06-18 23:30:20.317,-4.3156921912000001,-4.7198334640000006,5.1268477040000002,258.6159944,23.38519968,-38.28239948,44.6925,7.47,-3.5375,1,0,0,0,0,0
2019-06-18 23:30:20.567,-4.6177446542,-8.1732300079999991,7.2753086079999996,287.4375952,54.58799948,-27.90439952,27.62,30.2425,-10.765,1,0,0,0,0,0
2019-06-18 23:30:20.817,-1.6102442986000001,-7.0027526819999988,5.1871816266600002,312.1839952,49.67959884,-16.84279976,20.6825,34.0,-15.5025,1,0,0,0,0,0
2019-06-18 23:30:21.067,-0.24899704892000007,-9.0418463837999994,3.7295916641999995,302.3527968,58.32999888,-10.957199872,19.74,34.9125,-4.66,1,0,0,0,0,0
2019-06-18 23:30:21.317,0.3323151954000001,-10.899363785999999,2.5891854865999999,301.8403952,74.58919908,3.1855999456,8.5075,41.0325,2.2475,1,0,0,0,0,0
2019-06-18 23:30:21.567,-0.89217531733999988,-9.3479211339999999,1.3733140923999998,302.9519936,80.46159984,1.751599944,15.7375,38.0125,-0.8775,1,0,0,0,0,0
2019-06-18 23:30:21.817,-1.2415372333999999,-9.6403967799999997,3.0218656191999997,285.932796,75.88399908,-6.981199892,20.86,36.5425,-10.0025,1,0,0,0,0,0
2019-06-18 23:30:22.067,-0.0047884056000000027,-8.2960046720000005,2.8017905919999997,265.3607952,71.40159904,-3.72359995132,20.0,34.4775,-17.225,1,0,0,0,0,0
2019-06-18 23:30:22.317,-1.6918386768000002,-9.8179508599999998,3.3800381971999998,252.429996,70.33239916,-3.4975999616,21.4725,33.415,-17.1525,1,0,0,0,0,0
2019-06-18 23:30:22.567,-1.9329826843400002,-9.0745990560000003,4.1274122400000008,256.6179976,69.78719912,-8.795999876,25.6425,30.0025,-16.1125,1,0,0,0,0,0
2019-06-18 23:30:22.817,-2.2884737494,-8.1031277999999993,4.3329304699999991,264.9367936,62.9175992,-15.4035997,27.3825,27.485,-17.0275,1,0,0,0,0,0
2019-06-18 23:30:23.067,-3.3505415960000007,-8.0182773119999986,5.1936938359999996,266.0147968,59.41999888,-15.08399968,29.01,26.105,-16.85,1,0,0,0,0,0
2019-06-18 23:30:23.317,-3.8535155240000001,-7.3762481400000004,4.6809516160000006,271.583596,57.36439904,-20.99639972,31.29,24.6275,-14.505,1,0,0,0,0,0
2019-06-18 23:30:23.567,-4.2741288400000004,-7.8412978339999997,5.0768567999999998,277.420796,57.57239884,-25.66799968,33.65,25.01,-10.6425,1,0,0,0,0,0
2019-06-18 23:30:23.817,-5.8588988900000016,-6.5758186160000003,4.4183556040000003,291.7075976,56.38839916,-29.46119936,36.065,24.345,-6.0875,1,0,0,0,0,0
2019-06-18 23:30:24.067,-7.1178659079999989,-5.2718405760000007,4.884746056,303.4511976,51.95679904,-42.08359948,37.87,19.4825,-8.15,1,0,0,0,0,0
2019-06-18 23:30:24.317,-5.5620178139999998,-3.9483258939999994,6.1247509760000005,287.2387952,39.86239964,-41.0491996,39.435,11.16,-12.885,1,0,0,0,0,0
2019-06-18 23:30:24.567,-6.2718507619999988,-2.6500939819999996,5.7637053919999994,273.2936,27.9995996,-41.28799948,38.9525,7.09,-15.975,1,0,0,0,0,0
2019-06-18 23:30:24.817,-6.3226078899999996,-3.3053390799999995,5.8062264400000014,266.5807952,24.88639964,-43.92119928,38.47,7.4525,-17.4,1,0,0,0,0,0
2019-06-18 23:30:25.067,-5.2515377580000004,-5.888395383999999,5.3241299259999995,257.9767944,39.7531992,-39.22319928,37.065,13.0925,-16.0075,1,0,0,0,0,0
2019-06-18 23:30:25.317,-5.1779878939999993,-7.5846393800000014,4.6686933219999993,267.2751992,53.34919924,-31.20079968,34.67,21.685,-11.9225,1,0,0,0,0,0
2019-06-18 23:30:25.567,-4.5750320839999992,-8.2372030720000016,4.5217850780000006,275.6523936,60.35959928,-26.6915998,31.38,26.33,-12.7125,1,0,0,0,0,0
2019-06-18 23:30:25.817,-3.660830142,-8.0431768560000005,4.4053311019999999,270.9695984,62.14159924,-24.0595998,31.4925,25.295,-14.8175,1,0,0,0,0,0
2019-06-18 23:30:26.067,-4.430996959999999,-7.9882060040000002,4.1536526080000007,263.0131944,61.60279884,-23.5967998,31.1525,25.0175,-16.1675,1,0,0,0,0,0
2019-06-18 23:30:26.317,-4.8757438439999996,-7.5704657879999999,4.0636306759999998,258.2863972,61.66399904,-28.22599952,31.65,23.85,-17.155,1,0,0,0,0,0
2019-06-18 23:30:26.567,-6.7273236900000004,-6.8615905239999995,4.184298418,251.5543972,60.26799896,-34.46959944,33.67,19.9675,-15.795,1,0,0,0,0,0
2019-06-18 23:30:26.817,-7.3433039160000009,-6.8792118380000007,3.9232346700000007,240.057198,59.71799856,-42.93559952,34.2275,12.2575,-19.4775,1,0,0,0,0,0
2019-06-18 23:30:27.067,-5.6325031440000011,-3.9600096320000007,5.1971415379999994,219.1995972,50.14719908,-40.65719952,29.6125,0.725,-27.2075,1,0,0,0,0,0
2019-06-18 23:30:27.317,-6.5388521739999996,-3.1335311959999994,4.7282610580000002,188.9055964,30.84879956,-45.112799,26.235,-4.0575,-29.675,1,0,0,0,0,0
2019-06-18 23:30:27.567,-6.1795303080000004,-6.7317290179999993,4.1341159360000006,197.747996,49.3731992,-43.57279944,28.9475,6.5825,-27.4725,1,0,0,0,0,0
