,acc_x,acc_y,acc_z,ori_x,ori_y,ori_z,mag_x,mag_y,mag_z,labelCycling,labelBoxJump,labelSquats,labelSideLunges,labelLunges,labelSkipping
2019-06-18 23:30:18.567,0.4332547348,2.720196216,9.28490574,316.3315992,-19.11039988,0.85039998456,14.9075,1.1625,-44.665,1,0,0,0,0,0
2019-06-18 23:30:18.817,1.75064027324,1.46161225526,9.119418526,303.8979952,-13.65039982,7.331199856,11.5675,4.0975,-44.4975,1,0,0,0,0,0
2019-06-18 23:30:19.067,-3.3197042934,-2.09559687276,8.129942842,295.8471968,0.40559992,-3.16520004,25.6475,9.5525,-34.4875,1,0,0,0,0,0
2019-06-18 23:30:19.317,-4.0990648284,-3.1176336842,12.107765336,280.1879952,22.76039968,-21.7195998,29.865,24.34,-22.8075,1,0,0,0,0,0
2019-06-18 23:30:19.567,-3.100778485,-4.687080749,7.5921093,308.718796,20.30679962,-22.53119972,35.7275,15.42,-19.4925,1,0,0,0,0,0
2019-06-18 23:30:19.817,-3.890290446,-2.54053530188,7.5942162492,257.9431956,28.51599948,-23.85879964,33.175,1.945,-28.185,1,0,0,0,0,0
2019-06-18 23:30:20.067,-7.0424005852,-2.9404627258,8.51129126,244.339998,15.57199956,-24.66679976,34.81,-1.16,-25.46,1,0,0,0,0,0
2019-06-18 23:30:20.317,-4.3156921912,-4.719833464,5.126847704,258.6159944,23.38519968,-38.28239948,44.6925,7.47,-3.5375,1,0,0,0,0,0
2019-06-18 23:30:20.567,-4.6177446542,-8.173230008,7.275308608,287.4375952,54.58799948,-27.90439952,27.62,30.2425,-10.765,1,0,0,0,0,0
2019-06-18 23:30:20.817,-1.6102442986,-7.002752682,5.18718162666,312.1839952,49.67959884,-16.84279976,20.6825,34.0,-15.5025,1,0,0,0,0,0
2019-06-18 23:30:21.067,-0.24899704892,-9.0418463838,3.7295916642,302.3527968,58.32999888,-10.957199872,19.74,34.9125,-4.66,1,0,0,0,0,0
2019-06-18 23:30:21.317,0.3323151954,-10.899363786,2.5891854866,301.8403952,74.58919908,3.1855999456,8.5075,41.0325,2.2475,1,0,0,0,0,0
2019-06-18 23:30:21.567,-0.89217531734,-9.347921134,1.3733140924,302.9519936,80.46159984,1.751599944,15.7375,38.0125,-0.8775,1,0,0,0,0,0
